Registration No,Generic name,Trade name,Strength value,Unit of strength ,Dosage Form,Route of Administration,Volume,Unit of volume,Package type,Shelf-life (mon),Package size,Legal status,Product control,Storage conditions,ATCvet,Target Animals,Type,Withdrawal Period (days),Manufacturer name,Country of Manufacturer,Marketing Company,Nationality,MAH (Agent name),Authorization status,Marketed,Marketing status
6820016000301,Colistin,COLISTIN SAV 2MIU ® (WSP),2000000,IU/g,Powder for use in drinking water,Oral,500,g,Bottle,24,1,OTC,Uncontrolled,Store below 25°C,QJ01XB01,,Meat,7,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016000701,Ivermectin,Ivermectin 1%®,1,%,Solution for injection,Subcutaneous,100,ml,Vial,24,1,Prescription,Uncontrolled,,QP54AA01,,Meat,35,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016000201,Ascorbic acid,Vitamin C 25 % ® WSP   ,250,mg/g  ,Powder for use in drinking water,Oral,1000,g,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QA11GA01,,,,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016001201,Tylosin Tartarate,Tylosav ®Injection,200,mg/ml,Solution for injection,Intramuscular,50,ml,Vial,24,1,Prescription,Uncontrolled,,QJ01FA90,,"meat, milk","28, 7",Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
4000016000302,Colistin,Colistin 80,800000,IU/g,Powder for use in drinking water,Oral,100,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01XB01,"Poultry,Calves ,Lambs","meat, egg","7, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000303,Colistin,Colistin 80,800000,IU/g,Powder for use in drinking water,Oral,500,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01XB01,"Poultry,Calves ,Lambs","meat, egg","7, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000301,Colistin,Colistin 80,800000,IU/g,Powder for use in drinking water,Oral,1000,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01XB01,"Poultry,Calves ,Lambs","meat, egg","7, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000902,Oxytetracycline,Oxytetravet 25%       ,25,%,Powder for use in drinking water,Oral,100,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Poultry,Calves ,Lambs, Foals",meat,14,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000903,Oxytetracycline,Oxytetravet 25%       ,25,%,Powder for use in drinking water,Oral,500,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Poultry,Calves ,Lambs, Foals",meat,14,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000901,Oxytetracycline,Oxytetravet 25%       ,25,%,Powder for use in drinking water,Oral,1000,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Poultry,Calves ,Lambs, Foals",meat,14,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000201,Ascorbic acid,Vitamin C,250,mg,Powder for use in drinking water,Oral,100,g,Sachet,24,1,Prescription,Uncontrolled,Store below 25°C,QA11GA01,"Poultry, Calves, Sheep,Goats, Cattle, Camle, Horse",,,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000202,Ascorbic acid,Vitamin C,250,mg,Powder for use in drinking water,Oral,500,g,Sachet,24,1,OTC,Uncontrolled,Store below 25°C,QA11GA01,"Poultry, Calves, Sheep,Goats, Cattle, Camle, Horse",,,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000203,Ascorbic acid,Vitamin C,250,mg,Powder for use in drinking water,Oral,1000,g,Sachet,24,1,OTC,Uncontrolled,Store below 25°C,QA11GA01,"Poultry, Calves, Sheep,Goats, Cattle, Camle, Horse",,,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000102,Amoxicillin,Amoxivet 20% ,200,mg,Powder for use in drinking water,Oral,100,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01CA04,"Poultry, Sheep,Goats, Cattle, Dogs, Cats","meat, egg, milk","14, 7, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000103,Amoxicillin,Amoxivet 20% ,200,mg,Powder for use in drinking water,Oral,500,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01CA04,"Poultry, Sheep,Goats, Cattle, Dogs, Cats","meat, egg, milk","14, 7, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000101,Amoxicillin,Amoxivet 20% ,200,mg,Powder for use in drinking water,Oral,1000,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01CA04,"Poultry, Sheep,Goats, Cattle, Dogs, Cats","meat, egg, milk","14, 7, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
